Audio/Music/world 2-level 1;2;2:00;5,2
F;0;1934
M;0;1937
V;0;1934
R;0;1934
L;0;1937
A;0;1934
U;0;1472
K;0;2436
A;0;1937
S;0;967
A;0;967
K;0;1937
F;0;967
U;0;967
M;0;967
F;0;970
R;0;967
S;0;967
L;0;967
A;0;970
R;0;967
U;0;967
J;0;967
F;0;970
S;0;967
K;0;967
L;0;967
A;0;970
S;0;967
K;0;1934
M;0;970
V;0;967
U;0;2904
D;0;967
S;0;967
A;0;967
D;0;970
J;0;967
K;0;967
M;0;967
D;0;970
F;0;967
V;0;967
U;0;967
R;0;970
L;0;967
A;0;967
J;0;967
F;0;2904
S;0;967
K;0;970
D;0;967
L;0;967
V;0;967
M;0;970
U;0;967
R;0;967
J;0;1937
A;0;967
J;0;967
F;0;967
K;0;970
L;0;967
A;0;967
A;0;1453
S;0;483;;;
U;0;2419
L;0;3871
F;0;3871
J;0;1455;;;
A;0;967
R;0;967
M;0;967
V;0;2904;;;
A;0;967
S;0;970
M;0;967
V;0;1934
A;0;970
L;0;967
A;0;967
K;0;967
D;0;970
S;0;967
U;0;967
R;0;0
