Audio/Music/world 3-level 1;4;1:20;0,1
None;0;1250;Compas1
H;0;312;Compas2
O;0;313
L;0;312
A;0;313
B;0;312;Compas3
U;0;313
E;0;312
N;0;313
A;0;312;Compas4
S;0;313
E;0;312
S;0;313
T;0;312;Compas5
E;0;313
N;0;312
I;0;313
V;0;312;Compas6
E;0;313
L;0;312
E;0;313
S;0;312;Compas7
D;0;313
I;0;312
F;0;313
I;0;312;Compas8
C;0;313
I;0;312
L;0;313
S;0;312;Compas9
U;0;313
E;0;312
R;0;313
T;0;1250;Compas10
E;0;1250;Compas11
S;0;312
D;0;156
I;0;312
P;0;156
O;0;156
C;0;156
X;0;313;Compas12
N;0;312
E;0;313
M;0;312
E;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;312
D;0;313
D;0;0
